StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1_1,1_2,1_3,1_8,1_9,2_1,2_2,2_3,2_8,2_9,T1_1,T1_2,T1_3,T1_4,T1_5,T1_6,T1_7,GA1_1,GA1_2,GA1_3,GA1_4,GA1_5,GA2,GA3_1,GA3_2,GA3_3,GA3_4,GA3_5,GA3_6,GA3_7,GA3_8,GA4,GA5,GA6,FB1_1,FB1_2,FB1_3,FB1_4,FB1_5,FB2,FB3_1,FB3_2,FB3_3,FB3_4,FB3_5,FB3_6,FB3_7,FB3_8,FB4,FB5,FB6,N1_1,N1_2,N1_3,N1_4,N1_5,N2,N3_1,N3_2,N3_3,N3_4,N3_5,N3_6,N3_7,N3_8,N4,N5,N6,1,2_1,imid,Q_Language,group,SC1,SC2,SC3,controls
2021-10-20 03:08:59,2021-10-20 03:13:51,IP Address,100,291,True,2021-10-20 03:13:51,R_1LtyiLMIDa1VSr1,anonymous,NL,1,Corona,"Energie prijzen ","Afghanistan ","Kabinet ","Belasting ","Criminaliteit ",corona,"Kabinet ","Bedreiging ","Afghanistan ",Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,Somewhat agree -5,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Slightly too little attention - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Usually - 5,,,,,,,,,,,,,,,,,,Moderately interesting - 3,4,809350,NL,FB,0,4,0,
2021-10-20 03:09:40,2021-10-20 03:14:14,IP Address,100,273,True,2021-10-20 03:14:14,R_2fxrztSiefJoGPd,anonymous,NL,1,Klimaatverandering,Energietransitie,Kloof arm rijk,woningnood,vertrouwen in overheid,stijging besmettingen,georganiseerde misdaad,hoge prijs brandstoffen,nep nieuws,radicalisering,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree -5,Strongly disagree - 1,Strongly disagree - 1,Disagree - 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Strongly agree - 7,Somewhat disagree - 3,Strongly disagree - 1,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Moderately too much - 6,Moderately too much - 6,Neither too much nor too little - 4,Neither agree nor disagree - 4,Strongly disagree - 1,Never - 1,Extremely interesting - 5,3,175805,NL,NOS,1,0,4,
2021-10-20 02:49:04,2021-10-20 03:15:02,IP Address,100,1558,True,2021-10-20 03:15:03,R_zUMPl3JSTHqGsSZ,anonymous,NL,1,"Corona stijging  en ic capaciteit ",Kabinet vorming,Afghanistan vluchtelingen probleem,"Corona maatregel opvolging ",Voetbal geweld,Geweld tegen politie toename,Corona ic toename,"Qr corona code problemen ",Voetbal geweld,"Auto ongelukken ",Agree -6,Agree -6,Somewhat agree -5,Agree -6,Disagree - 2,Disagree - 2,Disagree - 2,,,,,,,,,,,,,,,,,,Neither agree nor disagree - 4,Somewhat disagree - 3,Disagree - 2,Neither agree nor disagree - 4,Agree - 6,Moderately too much attention - 6,Far too little - 1,Far too little - 1,Far too little - 1,Neither too much nor too little - 4,Moderately too little - 2,Far too much - 7,Far too much - 7,Slightly too little - 3,Somewhat agree - 5,Somewhat agree - 5,Never - 1,Agree - 6,Agree - 6,Strongly disagree - 1,Disagree - 2,Disagree - 2,Moderately too much attention - 6,Moderately too little - 2,Slightly too little - 3,Far too little - 1,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too much - 6,Moderately too much - 6,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Not interesting at all - 1,10,574428,NL,FB,0,5,3,
2021-10-20 03:05:52,2021-10-20 03:15:09,IP Address,100,556,True,2021-10-20 03:15:10,R_1JCvtrfLfqKaycP,anonymous,NL,1,Asielzoekers opvang,Corona,Politiek,Gasprijzen,Milieu,Stadion straffen,Tekort hondenopvang,Hooligans,Tramdrama,Instroom asielzoekers,Somewhat agree -5,Agree -6,Agree -6,Somewhat agree -5,Somewhat disagree - 3,Somewhat disagree - 3,Disagree - 2,Somewhat agree - 5,Agree - 6,Disagree - 2,Disagree - 2,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat agree - 5,About half of the time - 4,,,,,,,,,,,,,,,,,,Agree - 6,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Sometimes - 3,Moderately interesting - 3,9,4017147,NL,GA,3,1,2,
2021-10-20 03:06:53,2021-10-20 03:16:15,IP Address,100,562,True,2021-10-20 03:16:16,R_2YEQ90WiKyf8ph3,anonymous,NL,1,corona,vorming van een kabinet,criminaliteit,co2 uitstoot,opwarming,beroving,neerschieten van personen,ajax,auto ongeluk,voorzitter van Dissel,Agree -6,Agree -6,Agree -6,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree -5,Agree - 6,Agree - 6,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Moderately too much - 6,Somewhat agree - 5,Neither agree nor disagree - 4,Sometimes - 3,Somewhat agree - 5,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Far too much - 7,Somewhat agree - 5,Somewhat agree - 5,Sometimes - 3,Strongly agree - 7,Agree - 6,Neither agree of disagree - 4,Somewhat disagree - 3,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Far too much - 7,Somewhat disagree - 3,Somewhat agree - 5,Sometimes - 3,Very interesting - 4,5,4876236,NL,NOS,2,3,5,
2021-10-20 03:02:13,2021-10-20 03:18:37,IP Address,100,984,True,2021-10-20 03:18:37,R_2PC4nyoT9JwtTwl,anonymous,NL,0.89999997615814208984375,"Corona ","Vluchtelingen ","Toeslagen ","Klimaatverandering ","Woningtekort ",Corona,"Klimaatverandering ","Woningtekort ",Files,Griepepidemie,Somewhat agree -5,Somewhat agree -5,Agree -6,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Somewhat agree - 5,Neither agree of disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Slightly too much attention - 5,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Far too little - 1,Moderately too little - 2,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Never - 1,Not interesting at all - 1,6,4020447,NL,NOS,0,0,4,
2021-10-20 03:13:44,2021-10-20 03:18:46,IP Address,100,301,True,2021-10-20 03:18:46,R_217HtWVggxAlpDm,anonymous,NL,1,teveel immigranten,drugscriminaliteit,klimaat,zorg,onderwijs,covid,polen,toeslagenaffaire,cybercrime,zorg,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Disagree - 2,Disagree - 2,Disagree - 2,,,,,,,,,,,,,,,,,,Somewhat disagree - 3,Somewhat disagree - 3,Strongly disagree - 1,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat agree - 5,Agree - 6,Seldom - 2,,,,,,,,,,,,,,,,,,Very interesting - 4,8,1208274,NL,FB,1,5,0,
2021-10-20 03:16:54,2021-10-20 03:19:11,IP Address,100,137,True,2021-10-20 03:19:11,R_u3OIbEoyOrwZnfX,anonymous,NL,1,"Corona ","Energieprijzen ","Huizen ",Klimaat,"Veiligheid ",Energieprijzen,Benzinekosten,"Corona ",Noord Korea,Ing,Strongly agree - 7,Strongly agree - 7,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Moderately interesting - 3,4,3855030,NL,NOS,0,1,4,
2021-10-20 03:19:33,2021-10-20 03:21:15,IP Address,100,102,True,2021-10-20 03:21:15,R_QbIbeHyrLxQ0eR3,anonymous,NL,0.89999997615814208984375,covidm,"bleu ",gas,liefde,werk,civid,maatschappij,Milou,sex,werk,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Usually - 5,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Slightly too much attention - 5,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,Somewhat disagree - 3,Neither agree of disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither agree of disagree - 4,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Usually - 5,Moderately interesting - 3,6,980722,NL,GA,5,3,2,
2021-10-20 03:03:45,2021-10-20 03:21:54,IP Address,100,1088,True,2021-10-20 03:21:54,R_3Oj2Nmc2lqYH9CV,anonymous,NL,1,klimaat,enregie,verharding maatschappij,asielzokkers,teweinig werknemers,corona besmetingen oplopend,gas prijs,opvang asiel zoekers,huisvesting,klimaat,Agree -6,Agree -6,Agree -6,Agree -6,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Somewhat agree - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Agree - 6,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Moderately interesting - 3,4,174743,NL,FB,0,5,2,
2021-10-20 03:15:05,2021-10-20 03:22:22,IP Address,100,436,True,2021-10-20 03:22:22,R_vdkqtH39JithM7T,anonymous,NL,1,kosten immigratie,huisvesting,energie,ouderen,politie,inmmigratie,energie,huisvesting,ouderen,politie,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Agree -6,Agree -6,Agree -6,Agree - 6,Disagree - 2,Agree - 6,Agree - 6,Agree - 6,Far too little attention - 1,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Moderately too much - 6,Slightly too little - 3,Far too little - 1,Moderately too much - 6,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,Disagree - 2,Disagree - 2,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Moderately too much - 6,Moderately too much - 6,Moderately too little - 2,Far too little - 1,Slightly too much - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,,,,,,,,,,,,,,,,,,Extremely interesting - 5,7,3854463,NL,GA,5,5,0,
2021-10-20 03:17:00,2021-10-20 03:22:40,IP Address,100,340,True,2021-10-20 03:22:41,R_2PCpAnE8aIoWq5D,anonymous,NL,1,Corona,Toeslagenaffaire,Veiligheid,Klimaat,Bestuur,Toeslagenaffaire,Steekpartij,Voor tram geduwd,Het weer,Veiligheid,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat disagree - 3,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,,,,,,,,,,,,,,,,,,Disagree - 2,Disagree - 2,Strongly disagree - 1,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Moderately too little - 2,Moderately too little - 2,Far too little - 1,Agree - 6,Disagree - 2,Seldom - 2,,,,,,,,,,,,,,,,,,Slightly interesting - 2,4,489084,NL,FB,0,3,0,
2021-10-20 03:24:02,2021-10-20 03:24:19,IP Address,100,17,True,2021-10-20 03:24:19,R_2ScydsQrzhhihzM,anonymous,NL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982088,NL,,,,,
2021-10-20 03:17:49,2021-10-20 03:24:29,IP Address,100,400,True,2021-10-20 03:24:30,R_3HIqMVfb8Ia04Mx,anonymous,NL,0.89999997615814208984375,"Woonruimte v jongeren ",Milieu,Zorg v mensen met beperking,Veiligheid,Recycling,Politiek,Covid,"Werkgelegenheid ",Woonruimte jongeren,"Arbeids participatie autisten ",Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Disagree - 2,Agree -6,Somewhat agree -5,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Somewhat disagree - 3,Somewhat agree - 5,Neither agree of disagree - 4,Somewhat agree - 5,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too little - 3,Moderately too little - 2,Slightly too little - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Never - 1,Moderately interesting - 3,1,4007341,NL,NOS,0,0,5,
2021-10-20 03:17:23,2021-10-20 03:25:04,IP Address,100,460,True,2021-10-20 03:25:04,R_2wyvcAj0PF8nkFp,anonymous,NL,1,Covid 19,"Veiligheid ","Criminaliteit ","Werkgelegenheid ","Vluchtelingen ","Geen vliegverkeer Marokko ",Ajax Championsleague,"Vluchtelingen ",Stadiongeweld,Compensatie ING,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree - 6,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Disagree - 2,Slightly too little attention - 3,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Somewhat disagree - 3,Disagree - 2,Never - 1,Very interesting - 4,8,2697768,NL,NOS,0,0,4,
2021-10-20 03:24:32,2021-10-20 03:26:31,IP Address,100,118,True,2021-10-20 03:26:31,R_qIP7ELOzsxOu5fH,anonymous,NL,1,Corona,Huizenmarkt,Milieu,?,?,?,?,?,?,?,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Slightly too little - 3,Moderately too little - 2,Moderately too little - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither too much nor too little attention - 4,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Slightly too little - 3,Moderately too little - 2,Moderately too little - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Slightly interesting - 2,7,4548269,NL,FB,0,3,2,
2021-10-20 03:18:18,2021-10-20 03:27:19,IP Address,100,541,True,2021-10-20 03:27:19,R_1kGsZ2dfmJTqVUX,anonymous,NL,0.89999997615814208984375,Corona,Energiekosten,Milieu,Huisvesting,Tekort aan geschoold personeel,Corona,Energiekosten,Vandalisme/criminaliteit,Huisvesting,Leveringsproblemen,Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Disagree - 2,Somewhat agree -5,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree - 7,Strongly agree - 7,Neither agree of disagree - 4,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Agree - 6,Agree - 6,Always - 7,Moderately interesting - 3,4,4023940,NL,NOS,0,0,3,
2021-10-20 03:12:09,2021-10-20 03:27:33,IP Address,100,924,True,2021-10-20 03:27:34,R_3Mhw8e8eJFgp4LT,anonymous,NL,0.89999997615814208984375,Klimaat,Drugshandel,Vormen v een kabinet,"Toeslag affaire ",Criminaliteit,Ajax verbijsterd media,Landbouwplan,Voorjaar groot deel v coronacrisus verlost,"Voetbal geweld ",Teveel vluchtelingen in ter apel,Agree -6,Agree -6,Agree -6,Agree -6,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,,,,,,,,,,,,,,,,,,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too little - 2,Far too little - 1,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Usually - 5,Agree - 6,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too little - 2,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Usually - 5,Very interesting - 4,8,3172997,NL,FB,0,5,5,
2021-10-20 03:16:48,2021-10-20 03:28:58,IP Address,100,730,True,2021-10-20 03:28:59,R_qEo7J0Bq3i0OgSJ,anonymous,NL,1,Kabinetsformatie,Covid,Stikstofprobleem,tekort aan verplegend personeel,lerarentekort,harde lockdown onnodig,kwestie Polen / EU,Ajax,Speelgoedtoevoer,Uithuis plaatsing kinderen van toeslagouders,Agree -6,Agree -6,Agree -6,Agree -6,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,,,,,,,,,,,,,,,,,,Disagree - 2,Disagree - 2,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat agree - 5,Somewhat agree - 5,Usually - 5,Agree - 6,Agree - 6,Neither agree of disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too little - 3,Moderately too little - 2,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too little - 2,Moderately too little - 2,Slightly too much - 5,Somewhat agree - 5,Somewhat agree - 5,Usually - 5,Very interesting - 4,2,4031731,NL,FB,0,3,2,
2021-10-20 03:21:53,2021-10-20 03:29:10,IP Address,100,436,True,2021-10-20 03:29:10,R_1mghjoiQjaXqzKH,anonymous,NL,0.89999997615814208984375,Asielopvang,Zorgkosten,Opnamestop ziekenhuizen,Corona stijging,Woonlasten,Asielopvang ter apel,Zorgkosten,Woning tekort,Toeslagaffaire,Justitueel gevangenis vugt,Agree -6,Agree -6,Agree -6,Agree -6,Somewhat disagree - 3,Somewhat disagree - 3,Disagree - 2,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Never - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderately interesting - 3,2,44904,NL,GA,3,0,0,
2021-10-20 03:25:45,2021-10-20 03:29:48,IP Address,100,242,True,2021-10-20 03:29:48,R_2VOA4bQon4E2Usl,anonymous,NL,0.89999997615814208984375,corona,gezondheidszorg,milieu,woningbouw,misdaad,stijging corona,kabinet formatie,milieu,misdaad,woningbouw,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,,,,,,,,,,,,,,,,,,Agree - 6,Agree - 6,Agree - 6,Agree - 6,Agree - 6,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Seldom - 2,Very interesting - 4,10,1865630,NL,GA,5,0,2,
2021-10-20 03:29:50,2021-10-20 03:30:09,Spam,100,18,True,2021-10-20 03:30:09,R_RPOVdT6TeNLgG65,anonymous,NL,0.89999997615814208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595554,NL,,,,,
2021-10-20 03:25:15,2021-10-20 03:30:32,IP Address,100,316,True,2021-10-20 03:30:32,R_DUgGweFwumceYed,anonymous,NL,1,Corona,Gas,Nieuw kabinet,Huizen tekort,Rascismus,Corona,Nec,Benzine prijs,Appelscha,Afganen,Agree -6,Agree -6,Somewhat agree -5,Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Moderately too much - 6,Moderately too much - 6,Slightly too much - 5,Somewhat agree - 5,Agree - 6,Usually - 5,Somewhat disagree - 3,Disagree - 2,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Moderately too much - 6,Neither too much nor too little - 4,Somewhat agree - 5,Somewhat agree - 5,Sometimes - 3,Agree - 6,Agree - 6,Agree - 6,Somewhat agree - 5,Agree - 6,Moderately too much attention - 6,Moderately too much - 6,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Agree - 6,Agree - 6,Sometimes - 3,Moderately interesting - 3,9,4413564,NL,FB,2,4,3,
